card_number,expire,phone,status,balance
8600 2567 6166 3611,08/28,+99899958271,expired,790174481.75
4916 0375 0405 7123,12/24,+99899656218,inactive,474139532.75
8600 1073 1411 3481,01/26,+998 99 973 62 85,active,238406053.52
4916 9849 5521 7666,11/26,+99899484345,active,483631867.58
4916 1052 8209 6934,03/27,None,active,167156647.90
4916 8374 9571 4115,01/28,+99899601477,inactive,864946520.22
5614 8978 4509 6961,12/27,+99899546131,inactive,891538397.08
5614 1494 6662 2455,04/28,+998 99 973 30 16,active,676651526.05
5614 4708 1805 0793,07/24,None,active,909928376.97
4916 8918 6016 8977,04/28,None,expired,672849920.25
5614 2185 9107 4013,02/26,None,inactive,1068646089.96
5614 4983 6422 9057,04/25,973-44-43,inactive,1131368804.36
8600 2317 6171 9291,03/28,None,expired,1104493402.51
5614 1993 5010 9309,12/25,973-19-83,inactive,305216418.88
4916 8930 3787 5294,12/28,973-22-11,inactive,694156231.81
8600 2090 2028 4760,02/27,973-11-62,inactive,594567015.51
4916 2611 9534 2384,12/26,None,active,562717180.90
8600 0162 4606 0415,09/25,None,active,1194393901.43
4916 3196 1937 8804,02/25,None,active,782618265.40
8600 1971 6399 1913,10/26,+99899805612,active,962538493.68
4916 2235 0469 5589,09/28,+998 99 973 88 29,inactive,536240899.01
5614 4730 3822 6565,08/28,None,active,717923477.79
5614 1359 2209 1773,07/25,None,inactive,767741766.63
8600 1739 2226 7119,11/25,None,expired,973326438.83
8600 9812 8845 5437,11/28,+998 99 973 46 89,expired,731406444.45
5614 6194 6988 1795,08/26,+998 99 973 62 86,active,1181311466.30
5614 2044 0331 0654,01/25,973-57-78,active,1029887576.34
5614 5624 7994 6291,10/26,973-99-22,active,161034888.95
8600 1346 8080 6431,12/28,+99899389385,inactive,56671649.53
4916 6569 7200 0107,08/26,+998 99 973 34 36,active,273084107.28
4916 4546 2872 0058,11/28,+99899546889,active,319896342.81
8600 6820 0341 9977,01/25,None,inactive,830951437.50
5614 0279 9398 1091,03/28,+998 99 973 12 29,inactive,698533524.56
5614 3130 7132 3772,05/25,973-82-41,inactive,488648845.27
5614 9100 9523 1988,10/24,+998 99 973 60 37,active,282380698.84
5614 1793 3659 8882,01/24,+99899365131,active,899116436.97
8600 0053 9361 2516,05/25,None,active,218362553.23
8600 4863 0847 7247,06/27,None,inactive,61358555.13
8600 6756 9077 5891,02/27,None,expired,710504915.83
4916 6588 6526 4543,11/26,+99899298051,inactive,802340325.22
5614 9757 2897 4288,11/26,+998 99 973 72 75,active,497237565.67
4916 8677 7836 7026,08/27,973-47-70,inactive,512185968.66
8600 2031 7030 6390,10/25,+998 99 973 82 94,inactive,686834650.05
5614 6358 6091 3557,10/28,None,inactive,686407914.81
8600 7148 6843 1662,10/24,None,expired,83954054.64
4916 8868 7645 6069,09/28,+998 99 973 30 80,expired,1028903993.25
4916 8509 0478 1021,09/24,+998 99 973 17 40,inactive,785172749.91
4916 7943 1150 3315,05/26,+99899909223,active,1040180392.38
4916 7978 6653 5715,03/27,+99899634468,inactive,233868449.22
5614 6832 5732 5845,05/28,None,active,873028517.72
8600 2243 7441 1331,01/26,+998 99 973 51 19,inactive,132917478.23
8600 6922 2726 2483,04/24,None,expired,646989813.41
5614 0147 5223 6586,01/26,+998 99 973 86 63,active,411276630.71
5614 5373 8830 9344,10/24,973-16-62,inactive,909423941.26
8600 2675 6175 0060,06/27,973-60-59,active,1073898089.30
8600 1138 2652 1138,10/25,+99899189996,active,1003315406.82
5614 2856 0935 6203,06/26,+99899126015,inactive,902232392.42
